,MSE,MAE,R2
expanded_bow_ridge_reg_pred,2.887675804826563,1.328581937746542,0.6973986937596698
expanded_bow_linear_reg,2.912888715820743,1.3341708112187778,0.6947566174614206
bow_linear_reg_score,3.07041454097165,1.3735178064366749,0.678249390307466
embedding_pred_score,3.778059489293084,1.5275352707564092,0.6040948452028787
external_embd_model,4.853125488475923,1.7431005920923912,0.49143802441172635
gbc_clf_score,6.329152429369114,1.9080340028335694,0.3367642623454806
baseline_3_score,8.491592199385531,2.3638306923290244,0.11016088187621476
baseline_2_score,9.037190203626784,2.459464357596221,0.05298733473163275
baseline_1_score,9.54291125334441,2.532531142709648,-7.482062552410795e-06
dnn_pred,26.00038084314544,3.887531162728984,-1.724595743307277
dnn_pred,158.63627417353422,10.176998250493805,-15.623591783321313
